Conda packages list
# Name                            Version          Build                Channel
fontconfig                        2.14.2           h14ed4e7_0           conda-forge
fonts-conda-ecosystem             1                0                    conda-forge
fonts-conda-forge                 1                0                    conda-forge
freetype                          2.12.1           h267a509_2           conda-forge
freexl                            1.0.6            h166bdaf_1           conda-forge
frozenlist                        1.4.1            py38h01eb140_0       conda-forge
fsspec                            2023.10.0        pyhca7485f_0         conda-forge
furl                              2.1.4            pypi_0               pypi
gdal                              3.5.0            py38hdd69c9e_0       conda-forge
geos                              3.10.2           h9c3ff4c_0           conda-forge
geotiff                           1.7.1            h509b78c_1           conda-forge
gettext                           0.25.1           h3f43e3d_1           conda-forge
gettext-tools                     0.25.1           h3f43e3d_1           conda-forge
gflags                            2.2.2            h5888daf_1005        conda-forge
giflib                            5.2.2            hd590300_0           conda-forge
glib                              2.80.2           hf974151_0           conda-forge
glib-tools                        2.80.2           hb6ce0ca_0           conda-forge
glog                              0.6.0            h6f12383_0           conda-forge
grpc-cpp                          1.47.1           h05bd8bd_7           conda-forge
gst-plugins-base                  1.18.5           hf529b03_3           conda-forge
gstreamer                         1.20.3           hd4edc92_2           conda-forge
h2                                4.1.0            pyhd8ed1ab_0         conda-forge
hdf4                              4.2.15           h9772cbc_5           conda-forge
hdf5                              1.12.1           nompi_h2386368_104   conda-forge
hpack                             4.0.0            pyh9f0ad1d_0         conda-forge
huggingface_hub                   0.26.5           pyhd8ed1ab_0         conda-forge
hyperframe                        6.0.1            pyhd8ed1ab_0         conda-forge
icu                               69.1             h9c3ff4c_0           conda-forge
idna                              3.10             pyhd8ed1ab_0         conda-forge
imagecodecs                       2022.2.22        py38h43af60f_5       conda-forge
imageio                           2.36.0           pyh12aca89_1         conda-forge
importlib-metadata                8.5.0            pyha770c72_0         conda-forge
importlib-resources               6.4.5            pypi_0               pypi
importlib_metadata                8.5.0            hd8ed1ab_1           conda-forge
jack                              1.9.18           hfd4fe87_1001        conda-forge
jpeg                              9e               h0b41bf4_3           conda-forge
json-c                            0.16             hc379101_0           conda-forge
jsonpatch                         1.33             pyhd8ed1ab_0         conda-forge
jsonpointer                       3.0.0            py38h578d9bd_0       conda-forge
jsonschema                        4.23.0           pypi_0               pypi
jsonschema-specifications         2023.12.1        pypi_0               pypi
jxrlib                            1.1              hd590300_3           conda-forge
kealib                            1.4.15           hfe1a663_0           conda-forge
keyutils                          1.6.3            hb9d3cd8_0           conda-forge
kiwisolver                        1.4.5            py38h7f3f72f_1       conda-forge
kornia                            0.7.3            pypi_0               pypi
kornia-rs                         0.1.9            pypi_0               pypi
krb5                              1.19.3           h3790be6_0           conda-forge
lame                              3.100            h166bdaf_1003        conda-forge
lcms2                             2.12             hddcbb42_0           conda-forge
ld_impl_linux-64                  2.44             h1423503_1           conda-forge
lerc                              3.0              h9c3ff4c_0           conda-forge
libabseil                         20220623.0       cxx17_h05df665_6     conda-forge
libaec                            1.1.4            h3f801dc_0           conda-forge
libasprintf                       0.25.1           h3f43e3d_1           conda-forge
libasprintf-devel                 0.25.1           h3f43e3d_1           conda-forge
libavif                           0.10.1           h5cdd6b5_2           conda-forge
libblas                           3.9.0            20_linux64_openblas  conda-forge
libbrotlicommon                   1.0.9            h166bdaf_9           conda-forge
libbrotlidec                      1.0.9            h166bdaf_9           conda-forge
libbrotlienc                      1.0.9            h166bdaf_9           conda-forge
libcap                            2.64             ha37c62d_0           conda-forge
libcblas                          3.9.0            20_linux64_openblas  conda-forge
libclang                          13.0.1           default_hb5137d0_10  conda-forge
libclang13                        14.0.6           default_h9986a30_1   conda-forge
libcrc32c                         1.1.2            h9c3ff4c_0           conda-forge
libcups                           2.3.3            h3e49a29_2           conda-forge
libcurl                           7.86.0           h7bff187_1           conda-forge
libdap4                           3.20.6           hd7c4107_2           conda-forge
libdb                             6.2.32           h9c3ff4c_0           conda-forge
libdeflate                        1.10             h7f98852_0           conda-forge
libedit                           3.1.20250104     pl5321h7949ede_0     conda-forge
libev                             4.33             hd590300_2           conda-forge
libevent                          2.1.10           h9b69904_4           conda-forge
libexpat                          2.7.1            hecca717_0           conda-forge
libffi                            3.4.6            h2dba641_1           conda-forge
libflac                           1.3.4            h27087fc_0           conda-forge
libgcc                            15.1.0           h767d61c_4           conda-forge
libgcc-ng                         15.1.0           h69a702a_4           conda-forge
libgdal                           3.5.0            h56144a5_0           conda-forge
libgettextpo                      0.25.1           h3f43e3d_1           conda-forge
libgettextpo-devel                0.25.1           h3f43e3d_1           conda-forge
libgfortran                       15.1.0           h69a702a_4           conda-forge
libgfortran-ng                    15.1.0           h69a702a_4           conda-forge
libgfortran5                      15.1.0           hcea5267_4           conda-forge
libglib                           2.80.2           hf974151_0           conda-forge
libgomp                           15.1.0           h767d61c_4           conda-forge
libgoogle-cloud                   2.2.0            h838d150_1           conda-forge
libiconv                          1.18             h3b78370_2           conda-forge
libkml                            1.3.0            h01aab08_1016        conda-forge
liblapack                         3.9.0            20_linux64_openblas  conda-forge
libllvm13                         13.0.1           hf817b99_2           conda-forge
libllvm14                         14.0.6           hcd5def8_4           conda-forge
libltdl                           2.4.3a           h5888daf_0           conda-forge
liblzma                           5.8.1            hb9d3cd8_2           conda-forge
liblzma-devel                     5.8.1            hb9d3cd8_2           conda-forge
libnetcdf                         4.8.1            nompi_h329d8a1_102   conda-forge
libnghttp2                        1.51.0           hdcd2b5c_0           conda-forge
libnsl                            2.0.1            hb9d3cd8_1           conda-forge
libntlm                           1.8              hb9d3cd8_0           conda-forge
libogg                            1.3.5            hd0c01bc_1           conda-forge
libopenblas                       0.3.25           pthreads_h413a1c8_0  conda-forge
libopus                           1.5.2            hd0c01bc_0           conda-forge
libpng                            1.6.43           h2797004_0           conda-forge
libpq                             14.5             hd77ab85_0           conda-forge
libprotobuf                       3.21.12          hfc55251_2           conda-forge
librttopo                         1.1.0            hf69c175_9           conda-forge
libsndfile                        1.0.31           h9c3ff4c_1           conda-forge
libspatialite                     5.0.1            ha867d66_15          conda-forge
libsqlite                         3.46.0           hde9e2c9_0           conda-forge
libssh2                           1.10.0           haa6b8db_3           conda-forge
libstdcxx                         15.1.0           h8f9b012_4           conda-forge
libstdcxx-ng                      15.1.0           h4852527_4           conda-forge
libthrift                         0.16.0           h491838f_2           conda-forge
libtiff                           4.3.0            h0fcbabc_4           conda-forge
libtool                           2.5.4            h5888daf_0           conda-forge
libudev1                          253              h0b41bf4_0           conda-forge
libutf8proc                       2.8.0            hf23e847_1           conda-forge
libuuid                           2.38.1           h0b41bf4_0           conda-forge
libvorbis                         1.3.7            h54a6638_2           conda-forge
libwebp-base                      1.6.0            hd42ef1d_0           conda-forge
libxcb                            1.13             h7f98852_1004        conda-forge
libxcrypt                         4.4.36           hd590300_1           conda-forge
libxkbcommon                      1.0.3            he3ba5ed_0           conda-forge
libxml2                           2.9.14           haae042b_4           conda-forge
libzip                            1.9.2            hc869a4a_1           conda-forge
libzlib                           1.2.13           h4ab18f5_6           conda-forge
libzopfli                         1.0.3            h9c3ff4c_0           conda-forge
lmdb                              0.9.31           hd590300_1           conda-forge
locket                            1.0.0            pyhd8ed1ab_0         conda-forge
lz4-c                             1.9.3            h9c3ff4c_1           conda-forge
matplotlib                        3.3.4            py38h578d9bd_0       conda-forge
matplotlib-base                   3.3.4            py38h0efea84_0       conda-forge
mpg123                            1.31.3           hcb278e6_0           conda-forge
multidict                         6.0.5            py38h01eb140_0       conda-forge
multiprocess                      0.70.15          py38h01eb140_1       conda-forge
mysql                             5.7.20           hf484d3e_1001        conda-forge
mysql-client                      8.0.28           hf89ab62_2           conda-forge
mysql-common                      8.0.28           haf5c9bc_2           conda-forge
mysql-devel                       8.0.28           haf5c9bc_2           conda-forge
mysql-libs                        8.0.28           h28c427c_2           conda-forge
ncurses                           6.5              h2d0b736_3           conda-forge
networkx                          3.1              pyhd8ed1ab_0         conda-forge
nspr                              4.37             h29cc59b_0           conda-forge
nss                               3.100            hca3bf56_0           conda-forge
numpy                             1.19.5           py38h8246c76_3       conda-forge
olefile                           0.47             pyhd8ed1ab_0         conda-forge
opencv-contrib-python-headless    4.12.0.88        pypi_0               pypi
openjpeg                          2.5.0            h7d73246_0           conda-forge
openldap                          2.6.3            h2cfb03e_1           conda-forge
openssl                           1.1.1w           hd590300_0           conda-forge
orc                               1.7.6            h09e0d61_1           conda-forge
orderedmultidict                  1.0.1            pypi_0               pypi
packaging                         25.0             pyh29332c3_1         conda-forge
pandas                            1.4.4            py38h47df419_0       conda-forge
parquet-cpp                       1.5.1            2                    conda-forge
partd                             1.4.1            pyhd8ed1ab_0         conda-forge
pathlib2                          2.3.7.post1      pypi_0               pypi
pcre                              8.45             h9c3ff4c_0           conda-forge
pcre2                             10.43            hcad00b1_0           conda-forge
pillow                            10.4.0           pypi_0               pypi
pip                               24.3.1           pyh8b19718_0         conda-forge
pixman                            0.46.4           h54a6638_1           conda-forge
pkgutil-resolve-name              1.3.10           pypi_0               pypi
poppler                           22.04.0          h1434ded_0           conda-forge
poppler-data                      0.4.12           hd8ed1ab_0           conda-forge
postgresql                        14.5             hfdbbde3_0           conda-forge
proj                              9.0.0            h93bde94_1           conda-forge
psutil                            7.0.0            pypi_0               pypi
pthread-stubs                     0.4              hb9d3cd8_1002        conda-forge
pulseaudio                        14.0             hbc9ff1d_7           conda-forge
pyarrow                           9.0.0            py38h9f6a473_5_cpu   conda-forge
pyarrow-hotfix                    0.6              pyhd8ed1ab_0         conda-forge
pycparser                         2.22             pyhd8ed1ab_0         conda-forge
pyjwt                             2.9.0            pypi_0               pypi
pyparsing                         3.1.4            pyhd8ed1ab_0         conda-forge
pyqt                              5.15.4           py38hfa26641_0       conda-forge
pyqt5-sip                         12.9.0           py38hfa26641_0       conda-forge
pysocks                           1.7.1            pyha2e5f31_6         conda-forge
python                            3.8.15           h257c98d_0_cpython   conda-forge
python-dateutil                   2.9.0            pyhd8ed1ab_0         conda-forge
python-xxhash                     3.5.0            py38h2019614_0       conda-forge
python_abi                        3.8              8_cp38               conda-forge
pytz                              2024.2           pyhd8ed1ab_0         conda-forge
pywavelets                        1.1.1            py38h6c62de6_4       conda-forge
pyyaml                            6.0.2            py38h2019614_0       conda-forge
qt-main                           5.15.2           hdf1cb14_3           conda-forge
rasterio                          1.3.11           pypi_0               pypi
re2                               2022.06.01       h27087fc_1           conda-forge
readline                          8.2              h8c095d6_2           conda-forge
referencing                       0.35.1           pypi_0               pypi
requests                          2.32.4           pypi_0               pypi
responses                         0.18.0           pyhd8ed1ab_0         conda-forge
rpds-py                           0.20.1           pypi_0               pypi
s2n                               1.0.10           h9b69904_0           conda-forge
scikit-image                      0.17.2           py38h51da96c_4       conda-forge
scipy                             1.5.4            pypi_0               pypi
setuptools                        75.3.0           pyhd8ed1ab_0         conda-forge
sip                               6.5.1            py38h709712a_2       conda-forge
six                               1.16.0           pyh6c4a22f_0         conda-forge
snappy                            1.1.10           hdb0a2a9_1           conda-forge
snuggs                            1.4.7            pypi_0               pypi
soupsieve                         2.7              pypi_0               pypi
sqlite                            3.46.0           h6d4b2fc_0           conda-forge
tifffile                          2022.10.10       pyhd8ed1ab_0         conda-forge
tiledb                            2.8.3            h1e4a385_1           conda-forge
tk                                8.6.13           noxft_h4845f30_101   conda-forge
toml                              0.10.2           pyhd8ed1ab_0         conda-forge
toolz                             1.0.0            pyhd8ed1ab_0         conda-forge
torch                             1.10.1+cu113     pypi_0               pypi
torchvision                       0.11.2+cu113     pypi_0               pypi
tornado                           6.4.1            py38hfb59056_0       conda-forge
tqdm                              4.67.1           pyhd8ed1ab_0         conda-forge
typing-extensions                 4.13.2           pypi_0               pypi
typing_extensions                 4.12.2           pyha770c72_0         conda-forge
tzcode                            2025b            hb9d3cd8_0           conda-forge
tzdata                            2025b            h78e105d_0           conda-forge
uriparser                         0.9.8            hac33072_0           conda-forge
urllib3                           1.26.20          pypi_0               pypi
visdom                            0.2.4            pyhd8ed1ab_0         conda-forge
websocket-client                  1.8.0            pyhd8ed1ab_0         conda-forge
wheel                             0.45.1           pyhd8ed1ab_0         conda-forge
xcb-util                          0.4.0            h516909a_0           conda-forge
xcb-util-image                    0.4.0            h166bdaf_0           conda-forge
xcb-util-keysyms                  0.4.0            h516909a_0           conda-forge
xcb-util-renderutil               0.3.9            h166bdaf_0           conda-forge
xcb-util-wm                       0.4.1            h516909a_0           conda-forge
xerces-c                          3.2.3            h8ce2273_4           conda-forge
xkeyboard-config                  2.38             h0b41bf4_0           conda-forge
xorg-kbproto                      1.0.7            hb9d3cd8_1003        conda-forge
xorg-libice                       1.1.2            hb9d3cd8_0           conda-forge
xorg-libsm                        1.2.6            he73a12e_0           conda-forge
xorg-libx11                       1.8.4            h0b41bf4_0           conda-forge
xorg-libxau                       1.0.12           hb9d3cd8_0           conda-forge
xorg-libxdmcp                     1.1.5            hb9d3cd8_0           conda-forge
xorg-libxext                      1.3.4            h0b41bf4_2           conda-forge
xorg-libxrender                   0.9.10           h7f98852_1003        conda-forge
xorg-renderproto                  0.11.1           hb9d3cd8_1003        conda-forge
xorg-xextproto                    7.3.0            hb9d3cd8_1004        conda-forge
xorg-xproto                       7.0.31           hb9d3cd8_1008        conda-forge
xxhash                            0.8.2            hd590300_0           conda-forge
xz                                5.8.1            hbcc6ac9_2           conda-forge
xz-gpl-tools                      5.8.1            hbcc6ac9_2           conda-forge
xz-tools                          5.8.1            hb9d3cd8_2           conda-forge
yaml                              0.2.5            h280c20c_3           conda-forge
yarl                              1.9.4            py38h01eb140_0       conda-forge
zfp                               0.5.5            h9c3ff4c_8           conda-forge
zipp                              3.21.0           pyhd8ed1ab_0         conda-forge
zlib                              1.2.13           h4ab18f5_6           conda-forge
zlib-ng                           2.0.7            h0b41bf4_0           conda-forge
zstandard                         0.23.0           py38h62bed22_0       conda-forge
zstd                              1.5.6            ha6fb4c9_0           conda-forge

PIP packages list
Package                        Version
------------------------------ ------------
affine                         2.4.0
aiohappyeyeballs               2.4.3
aiohttp                        3.10.5
aiosignal                      1.3.1
async-timeout                  4.0.3
attrs                          24.2.0
beautifulsoup4                 4.12.3
Brotli                         1.0.9
certifi                        2024.8.30
cffi                           1.17.0
charset-normalizer             2.0.12
clearml                        2.0.2
click                          8.1.7
click-plugins                  1.1.1.2
cligj                          0.7.2
cloudpickle                    3.1.0
colorama                       0.4.6
cycler                         0.12.1
cytoolz                        0.12.3
dask                           2023.5.0
datasets                       2.13.1
dill                           0.3.6
dominate                       2.7.0
filelock                       3.16.1
frozenlist                     1.4.1
fsspec                         2023.10.0
furl                           2.1.4
GDAL                           3.5.0
h2                             4.1.0
hpack                          4.0.0
huggingface_hub                0.26.5
hyperframe                     6.0.1
idna                           3.10
imagecodecs                    2022.2.22
imageio                        2.36.0
importlib_metadata             8.5.0
importlib_resources            6.4.5
jsonpatch                      1.33
jsonpointer                    3.0.0
jsonschema                     4.23.0
jsonschema-specifications      2023.12.1
kiwisolver                     1.4.5
kornia                         0.7.3
kornia_rs                      0.1.9
locket                         1.0.0
matplotlib                     3.3.4
multidict                      6.0.5
multiprocess                   0.70.15
networkx                       3.1
numpy                          1.19.5
olefile                        0.47
opencv-contrib-python-headless 4.12.0.88
orderedmultidict               1.0.1
packaging                      25.0
pandas                         1.4.4
partd                          1.4.1
pathlib2                       2.3.7.post1
pillow                         10.4.0
pip                            24.3.1
pkgutil_resolve_name           1.3.10
psutil                         7.0.0
pyarrow                        9.0.0
pyarrow-hotfix                 0.6
pycparser                      2.22
PyJWT                          2.9.0
pyparsing                      3.1.4
PyQt5                          5.15.4
PyQt5-sip                      12.9.0
PySocks                        1.7.1
python-dateutil                2.9.0
pytz                           2024.2
PyWavelets                     1.1.1
PyYAML                         6.0.2
rasterio                       1.3.11
referencing                    0.35.1
requests                       2.32.3
responses                      0.18.0
rpds-py                        0.20.1
scikit-image                   0.17.2
scipy                          1.5.4
setuptools                     75.3.0
sip                            6.5.1
six                            1.16.0
snuggs                         1.4.7
soupsieve                      2.7
tifffile                       2022.10.10
toml                           0.10.2
toolz                          1.0.0
torch                          1.10.1+cu113
torchvision                    0.11.2+cu113
tornado                        6.4.1
tqdm                           4.67.1
typing_extensions              4.12.2
urllib3                        1.26.20
visdom                         0.2.4
websocket-client               1.8.0
wheel                          0.45.1
xxhash                         3.5.0
yarl                           1.9.4
zipp                           3.21.0
zstandard                      0.23.0
